dt,hr,node_num,da_total_q1,da_total_q3,da_total_q5,da_total_q10,da_total_q15,da_total_q20,da_total_q30,da_total_q40,da_total_q50,da_total_q60,da_total_q70,da_total_q80,da_total_q85,da_total_q90,da_total_q95,da_total_q97,da_total_q99,rt_total_q1,rt_total_q3,rt_total_q5,rt_total_q10,rt_total_q15,rt_total_q20,rt_total_q30,rt_total_q40,rt_total_q50,rt_total_q60,rt_total_q70,rt_total_q80,rt_total_q85,rt_total_q90,rt_total_q95,rt_total_q97,rt_total_q99
2026-06-27,24,45,-6.7361627,0.1424326,2.1157947,4.80471,5.752258,7.0621333,8.25744,11.384516,11.283191,13.197901,13.718513,14.507763,14.635215,16.889889,14.887969,14.614761,21.334156,-27.009232,-15.294114,-11.848784,-8.689683,-6.11395,-3.8550768,0.042574912,1.9746408,3.0419207,6.862793,8.138619,10.082299,10.4208355,10.916907,19.584843,20.394135,32.95372
2026-06-27,24,61,15.502779,16.470675,16.510832,18.329847,17.993027,19.548923,20.210632,19.456717,20.571793,22.335264,23.591503,24.511911,23.086823,24.546658,25.380632,28.62071,29.358875,3.2749019,11.978466,11.320555,14.634905,13.546886,17.604162,17.88062,20.517988,21.272242,22.618135,24.016739,23.845755,28.62757,28.166056,32.17866,38.419147,92.70133
2026-06-27,24,66,18.511324,19.196457,19.070528,20.915659,19.582302,22.261757,22.750246,21.612268,23.230492,24.860699,26.80471,26.870026,26.350983,27.838428,28.666435,32.19777,32.208992,4.1541324,15.466187,11.799185,16.063211,15.556974,19.291813,20.410482,24.64232,25.61526,27.378864,28.913454,27.363218,33.72648,33.51469,38.63246,44.348495,96.21826
2026-06-27,24,104,0.33762378,2.5846884,4.9733696,6.048895,6.962578,8.490357,9.056862,10.83606,11.30647,12.006879,13.008673,14.16472,15.833778,17.940233,17.61418,20.678074,20.971289,-15.583557,-11.686821,-9.185329,-6.267306,-3.2643113,-2.217507,2.2701087,5.287807,6.315125,7.684796,10.224552,15.571362,17.667053,18.33205,25.894737,29.809555,49.10264
2026-06-27,24,185,-0.8686884,1.5012743,3.6518652,4.9723034,5.7816525,7.050062,7.953286,9.494664,10.242139,10.971582,12.105499,13.518961,14.291151,16.24417,16.996277,19.403868,20.285616,-17.967201,-13.629948,-10.808037,-7.892981,-5.928105,-4.1291184,-1.0213226,1.8285328,3.4820018,5.1459403,7.5245337,11.702765,13.677363,16.490074,23.46805,30.138107,47.39221
2026-06-27,24,186,-18.475824,-11.0154705,-6.578754,-5.142631,-0.65358984,-0.76697314,1.4647421,0.5151447,3.8121753,4.4415183,7.7362566,9.873693,10.036584,12.72902,15.713693,17.645727,22.457859,-33.119396,-22.167448,-11.667264,-10.235719,-2.3202257,5.2734203,5.402488,9.932093,12.971142,17.06405,19.579327,20.989868,22.558271,29.326336,38.821148,43.657562,93.36079
2026-06-27,24,211,-6.453275203704834,-1.7301262617111206,1.0376375913619995,4.42935037612915,7.308712959289551,10.222029685974121,14.267632484436035,16.674869537353516,18.750152587890625,20.82265853881836,23.363475799560547,28.25267791748047,30.901302337646484,34.762657165527344,43.6362190246582,47.880245208740234,62.053558349609375,-39.70223617553711,-31.648408889770508,-28.549789428710938,-19.09215545654297,-7.071717262268066,-2.382611036300659,3.0803205966949463,7.913828372955322,11.631287574768066,14.184287071228027,19.01722526550293,28.554767608642578,34.96396255493164,52.39362335205078,90.75345611572266,136.35365295410156,161.63555908203125
2026-06-27,24,313,-25.995481491088867,-24.132823944091797,-21.151220321655273,-17.242462158203125,-15.431879043579102,-12.797698974609375,-9.337640762329102,-6.581071376800537,-3.881211996078491,-0.9724746942520142,1.995697021484375,7.4355902671813965,12.04196834564209,24.03205680847168,32.434295654296875,40.00540542602539,50.59434509277344,-33.44137954711914,-32.925724029541016,-31.657073974609375,-27.046863555908203,-23.317832946777344,-20.89986801147461,-15.890692710876465,-11.36466121673584,-7.490207195281982,-3.987921714782715,-0.1563750058412552,3.8922204971313477,4.934993743896484,8.443197250366211,23.5679931640625,41.10502624511719,272.6805419921875
2026-06-27,24,337,-4.269907,0.5609723,4.2785015,5.1956673,6.3966236,8.03232,6.7104263,8.609829,10.110405,12.297003,13.871049,15.543883,14.246249,15.589404,19.436876,18.143305,21.022226,-17.382975,-7.001718,-5.994184,-6.8010535,-1.227266,-8.01235,0.65046346,1.8354324,4.4735417,7.750956,9.413593,13.7930765,15.658392,21.321943,22.634281,38.643936,60.978535
2026-06-27,24,339,24.78829,24.32183,22.975054,24.700003,26.823296,28.719973,26.517954,29.849926,30.32726,31.6816,31.115812,30.57928,35.297817,33.23488,36.447594,36.25874,38.238884,3.1401875,14.995961,14.206338,16.974047,10.787065,13.319325,19.551306,16.337326,18.355757,13.180806,16.322563,12.704442,15.222505,14.730966,19.100466,27.954811,92.57737
