dt,node_num,incdec,bid_mw,clear_mw,profit,profit_congestion,node_name,rep_constraint,dfax,constraint_family_num,rep_dart,rep_pastyr_mvalue
2023-01-04,848.0,Increment,238.2,9.6,107.2668,54.993,KCPL.WAVERLYWND,567551.0,-0.04146,1224088.0,DA,-4212.7314453125
2023-01-08,1191.0,Increment,167.75,42.0,276.07584,78.01044000000003,SPS.GGPO.STOCKYARD10_11,485556.0,-0.02615,954.0,DA,-391.2398986816406
2023-01-08,1191.0,Increment,167.75,42.0,276.07584,78.01044000000003,SPS.GGPO.STOCKYARD10_11,529621.0,-0.0388,982.0,DA,-861.7781372070312
2023-02-20,1432.0,Decrement,1196.0,632.0,5535.17604,-860.48612,OKGE.VOLT.0149,280026.0,-0.0149,1037.0,DA,-37901.671875
2023-02-20,1432.0,Decrement,1196.0,632.0,5535.17604,-860.48612,OKGE.VOLT.0149,567437.0,-0.08107,1224211.0,DA,-20836.25
2023-02-22,924.0,Decrement,528.125,139.9,2795.25466,-500.13538000000005,WAUE.MRES.WTRN,568235.0,0.02561,1224316.0,DA,-5438.71240234375
2023-03-15,1193.0,Increment,109.89586542086678,105.7,-6509.503229999999,-7677.8904699999985,SPS.GGPO.STOCKYARD5_6,566801.0,-0.02979,1405.0,DA,-1841.9500732421875
2023-03-15,1193.0,Increment,109.89586542086678,105.7,-6509.503229999999,-7677.8904699999985,SPS.GGPO.STOCKYARD5_6,566447.0,0.03275,1224110.0,DA,-1943.9764404296875
2023-03-15,1193.0,Increment,109.89586542086678,105.7,-6509.503229999999,-7677.8904699999985,SPS.GGPO.STOCKYARD5_6,566477.0,-0.0348,1224450.0,DA,-956.90966796875
2023-03-30,1357.0,Increment,1114.997309768668,683.4,511.81206000000014,4330.10346,NPPD.TECH.1,498682.0,-0.03858,1059567.0,DA,-1356.8809814453125
2023-03-30,1357.0,Increment,1114.997309768668,683.4,511.81206000000014,4330.10346,NPPD.TECH.1,568126.0,-0.02283,1223693.0,DA,-1490.318115234375
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,589031.0,-0.0294,1224363.0,DA,-1274.021484375
2023-05-29,457.0,Increment,233.38,6.0,54.3138,16.70868,NPPD_GGS2,568491.0,-0.04453,1223883.0,DA,-6748.9443359375
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,529621.0,0.02592,982.0,DA,-861.7781372070312
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,390119.0,-0.03631,626033.0,DA,-4694.71337890625
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,567334.0,-0.02798,1223938.0,DA,-575.8369750976562
2023-07-10,1255.0,Increment,410.8,146.0,276.0936000000001,579.04364,KMEA_EMP3_JETM8,567869.0,-0.02562,1224244.0,DA,-1542.0228271484375
2023-09-08,541.0,Decrement,113.75,108.8,112.72224000000006,-79.04895999999997,OMPA_KAW,291796.0,0.14349,409.0,DA,-11927.4248046875
2023-09-08,541.0,Increment,177.75,18.6,-124.52169,-85.09755,OMPA_KAW,2686.0,-0.0505,904.0,DA,-30069.279296875
2023-09-08,541.0,Decrement,113.75,108.8,112.72224000000006,-79.04895999999997,OMPA_KAW,416989.0,-0.0185,1026.0,DA,-2180.2861328125
2023-09-08,541.0,Increment,177.75,18.6,-124.52169,-85.09755,OMPA_KAW,567804.0,-0.03842,1224057.0,DA,-4385.8564453125
2023-09-08,541.0,Decrement,113.75,108.8,112.72224000000006,-79.04895999999997,OMPA_KAW,566477.0,-0.02141,1224450.0,DA,-197.70188903808597
2023-10-29,221.0,Increment,224.03,105.0,5879.02226,4094.30318,INDN_MWE_SMKY2,278344.0,0.10936,158.0,DA,-157.0780029296875
2023-10-29,221.0,Increment,224.03,105.0,5879.02226,4094.30318,INDN_MWE_SMKY2,615776.0,0.03135,989.0,DA,-647.4866943359375
2023-10-29,221.0,Increment,224.03,105.0,5879.02226,4094.30318,INDN_MWE_SMKY2,624986.0,-0.02415,390285.0,DA,-1538.259521484375
2023-10-29,221.0,Increment,224.03,105.0,5879.02226,4094.30318,INDN_MWE_SMKY2,625777.0,-0.02828,1227443.0,DA,-174.26190185546875
2023-11-23,1416.0,Decrement,348.4,87.3,-2999.38287,-3025.00353,WR.VOLT.0119,538581.0,-0.02162,257.0,DA,-8527.080078125
2023-11-23,1416.0,Decrement,348.4,87.3,-2999.38287,-3025.00353,WR.VOLT.0119,2686.0,-0.0457,904.0,DA,-24746.373046875
