dt,constraint_family_num,dam,rtm
2025-04-30,283171,-1209.2119,0.0
2025-04-30,301799,0.0,-4741.8111
2025-04-30,411728,0.0,-678.5684
2025-04-30,418515,0.0,-2287.7665
2025-04-30,603360,-1741.635,-230.0072
2025-04-30,787132,0.0,-231.0861
2025-04-30,792695,0.0,-94.1007
2025-04-30,931600,0.0,-645.7042
2025-04-30,972047,-468.2575,0.0
2025-04-30,1001755,-258.4905,0.0
2025-04-30,1223740,-513.8592,0.0
2025-04-30,1224128,-37.4484,0.0
2025-04-30,1224171,-233.9599,0.0
2025-04-30,1255179,-81.3981,0.0
2025-04-30,1434909,0.0,-3.6033
2025-04-30,1493821,0.0,-12.4555
2025-04-30,1532490,-169.6316,0.0
2025-04-30,1671070,-5.6381,0.0
2025-04-30,1671071,-0.4681,0.0
2025-05-01,53,-199.1313,-10.6316
2025-05-01,133,0.0,-34.6091
2025-05-01,206,0.0,-89.6716
2025-05-01,382,-313.1359,-1.5218
2025-05-01,414,-386.6794,-2843.052
2025-05-01,439,-98.3622,0.0
2025-05-01,466,0.0,-12.9539
2025-05-01,530,-139.1762,0.0
2025-05-01,588,-8.46,0.0
2025-05-01,593,0.0,-33.1395
2025-05-01,603,0.0,-317.08860000000004
2025-05-01,611,-39.0627,0.0
2025-05-01,647,-51.345600000000005,0.0
2025-05-01,648,-139.9717,-2198.355
2025-05-01,705,-80.61590000000001,-68.291
2025-05-01,854,-302.3194,-95.08250000000001
2025-05-01,884,-133.7369,0.0
2025-05-01,902,-2.5478,0.0
2025-05-01,940,-66.502,0.0
2025-05-01,964,-3.3281,-18.4555
2025-05-01,977,0.0,-129.3533
2025-05-01,979,-149.9529,0.0
2025-05-01,982,0.0,-3.6256
2025-05-01,1037,-91.74159999999999,-294.7695
2025-05-01,1064,-8.6247,0.0
2025-05-01,34192,-220.1771,0.0
2025-05-01,204530,0.0,-93.0559
2025-05-01,255985,0.0,-1982.9851999999998
2025-05-01,274585,-664.8688,0.0
2025-05-01,283171,-21.4452,0.0
2025-05-01,411728,-128.3833,-693.3402
2025-05-01,459815,0.0,-11.0233
2025-05-01,496338,0.0,-150.1474
2025-05-01,515936,0.0,-202.8355
2025-05-01,603360,-1217.823,-60.695499999999996
2025-05-01,709132,0.0,-351.75199999999995
2025-05-01,792695,0.0,-230.2449
2025-05-01,947929,-71.88459999999999,-12.009
2025-05-01,972047,-385.5863,0.0
2025-05-01,1009314,0.0,-34.037499999999994
2025-05-01,1088736,0.0,-1561.9713
2025-05-01,1223787,-5.9259,0.0
2025-05-01,1224372,-3.0803,0.0
2025-05-01,1224401,-3.8552,0.0
2025-05-01,1357050,0.0,-463.9143
2025-05-01,1365696,0.0,-2232.0593
2025-05-01,1414806,-38.4173,-68.0777
2025-05-01,1671070,-87.871,0.0
2025-05-01,1671071,-24.9827,0.0
2025-05-01,1690494,-16.151,0.0
2025-05-02,53,-37.6027,-441.8902
2025-05-02,299,0.0,-0.1137
2025-05-02,347,0.0,-1.5228
2025-05-02,382,-198.9611,0.0
2025-05-02,383,-94.40279999999998,0.0
2025-05-02,466,0.0,-23.647199999999998
2025-05-02,489,0.0,-1489.9404
2025-05-02,530,-14.511800000000001,0.0
2025-05-02,588,-33.6984,0.0
2025-05-02,603,-479.6173,-1417.6392999999998
2025-05-02,647,-38.291399999999996,0.0
2025-05-02,648,-13.2708,-760.9135
2025-05-02,694,0.0,-1.2127
2025-05-02,722,-9.1977,0.0
2025-05-02,845,-260.6676,-1126.822
2025-05-02,884,-48.5799,-278.7168
2025-05-02,902,-117.97619999999999,0.0
2025-05-02,940,-28.3066,0.0
2025-05-02,951,-22.1546,0.0
2025-05-02,956,0.0,-4.3223
2025-05-02,979,-7.844,0.0
2025-05-02,1037,-91.9258,-268.0469
2025-05-02,1064,-97.41969999999999,0.0
2025-05-02,1087,-9.2517,0.0
2025-05-02,93430,0.0,-1.5657
2025-05-02,150158,-4190.9656,0.0
2025-05-02,167423,-2244.3834,-100.6136
2025-05-02,274585,-157.095,0.0
2025-05-02,283171,-2147.9403,-22.1535
2025-05-02,449908,-104.7968,0.0
2025-05-02,481207,0.0,-45.466499999999996
2025-05-02,496338,0.0,-134.3002
2025-05-02,498407,-43.969100000000005,0.0
2025-05-02,515297,-769.5464,0.0
2025-05-02,603360,0.0,-72.11330000000001
2025-05-02,787132,-201.876,0.0
2025-05-02,792695,-94.9981,0.0
2025-05-02,889435,0.0,-147.9598
2025-05-02,947929,-25.7729,-100.6407
2025-05-02,956503,0.0,-17.895200000000003
2025-05-02,1223843,-2.4424,0.0
2025-05-02,1357050,-47.0863,0.0
